"shapeid","x","y","field_1","field_2","field_3"
"2886","77.8030294349757","13.1868913836465","13.1868913836465","77.8030294349757","Sulibele_Hoskote"
"2887","77.7927857358","13.1629070453","13.1629070453","77.7927857358","Sadappanahalli"
"2888","77.7906470094","13.1577935815","13.1577935815","77.7906470094","Yanagunte"
"2889","77.69469637441637","12.717186140730718","12.717186140730718","77.69469637441637","Shanimahathma_Devasthana"
"2890","77.8022545044497","13.2947488230191","13.2947488230191","77.8022545044497","Vijayapura"
"2891","77.8091021094823","13.2643909919954","13.2643909919954","77.8091021094823","Darmapura"
"2892","77.8226213079851","13.242674285007","13.242674285007","77.8226213079851","I_Basapura"
"2893","77.8466291539","13.2617999241","13.2617999241","77.8466291539","Jangama_Kote"
"2894","77.79749","13.24515","13.24515","77.79749","Channarayapatna"
"2895","77.78596","13.21806","13.21806","77.78596","Chimachanahalli"
"2896","77.721742","13.25685","13.25685","77.721742","Kurubarakunte_Cross"
"2897","77.74166","13.26708","13.26708","77.74166","Dodda_Thattamangala"
"2898","77.76524","13.258434","13.258434","77.76524","Yeliyuru"
"2899","77.736717","12.999377","12.999377","77.736717","Sadaramangala"
"2900","77.709977","13.004279","13.004279","77.709977","Ayyappa_Nagara"
"2901","77.700077612","13.0062607583","13.0062607583","77.700077612","Devasandra_KR_Puram"
"2902","77.6846743054182","13.0055243628425","13.0055243628425","77.6846743054182","ITI_Gate"
"2903","77.6831308517795","13.0080565460658","13.0080565460658","77.6831308517795","ITI_Circle_KRPuram"
"2904","77.6787970856894","13.0117616652912","13.0117616652912","77.6787970856894","Church_RM_Nagar"
"2905","77.6734416839","13.0114442948","13.0114442948","77.6734416839","Yaranapalya"
"2906","77.6705131378764","13.0116785693972","13.0116785693972","77.6705131378764","Manipal"
"2907","77.6678344095476","13.0119468982052","13.0119468982052","77.6678344095476","Police_Station_Ramamurthinagar"
"2908","77.6617865898409","13.0132791962116","13.0132791962116","77.6617865898409","Jn_of_Ring_Road_Channasandra"
"2909","77.65775878387","13.0146120006433","13.0146120006433","77.65775878387","Baldwin_School"
"2910","77.6509211864","13.0143231433","13.0143231433","77.6509211864","Banaswadi"
"2911","77.6494704940344","13.0132087406274","13.0132087406274","77.6494704940344","Steel_Factory"
"2912","77.6217433624","12.9988557659","12.9988557659","77.6217433624","ITC_Sevanagar"
"2913","77.6543309938467","13.0073486382714","13.0073486382714","77.6543309938467","SRR_Kalyana_Mantapa"
"2914","77.6523373915859","13.0080712907026","13.0080712907026","77.6523373915859","OMBR_Layout"
"2915","77.6479751527095","13.0062781044341","13.0062781044341","77.6479751527095","Chikka_Banasawadi"
"2916","77.6406978311506","13.005966024448","13.005966024448","77.6406978311506","Ayyappa_Temple"
"2917","77.6627848272557","13.0132232263595","13.0132232263595","77.6627848272557","Jn_Of_Ring_Road_Channasandra"
"2918","77.678403","13.00147","13.00147","77.678403","KR_Puram_Railwaly_Station_Under_hanging_Bridge"
"2919","77.6785346794513","13.01186648748","13.01186648748","77.6785346794513","Ramamurty_nagar"
"2920","77.6791180745631","13.0212801917331","13.0212801917331","77.6791180745631","Koudenahalli_Cross"
"2921","77.6830238451301","13.0155792776809","13.0155792776809","77.6830238451301","Shanthi_Layout"
"2922","77.7965862583","13.0057118274","13.0057118274","77.7965862583","Naduvatti"
"2923","77.7842244388495","13.0080743978145","13.0080743978145","77.7842244388495","K_Mallasandra"
"2924","77.7837379742","12.9961186554","12.9961186554","77.7837379742","Koraluru"
"2925","77.782004","12.987938","12.987938","77.782004","Jn_of_Soukya_Hospital"
"2926","77.7608882923299","12.9828894184662","12.9828894184662","77.7608882923299","MVJ_College"
"2927","77.7194877125246","12.996221649744","12.996221649744","77.7194877125246","Kodigehalli_Cross"
"2928","77.6795893908","13.0401007645","13.0401007645","77.6795893908","K_Chansandra"
"2929","77.6774428839888","13.0389310934569","13.0389310934569","77.6774428839888","Pooja_Garden"
